model,train_schedule,target_schedule,config,window,n,mae,rmse,mape,r2,signed_bias,max_abs_error,endpoint_abs_diff,model_baseline,config_baseline,n_baseline,mae_baseline,rmse_baseline,mape_baseline,r2_baseline,signed_bias_baseline,max_abs_error_baseline,endpoint_abs_diff_baseline,mae_improvement,rmse_improvement,relative_mae_improvement_pct
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,full,16454,0.016447363760075835,0.020990382636932103,0.005867110077894784,0.98593641507722,0.012801567090981613,0.07336306944223825,0.01737102120968448,momentum_baseline,none,16454,0.035786677452969595,0.044917079432651615,0.012653357784427404,0.9356011148197827,0.01321151805496938,0.1833267369260998,0.058343827724042896,0.01933931369289376,0.023926696795719512,54.04053985818953
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_1000_10000,4501,0.003903720170745396,0.005333055773072358,0.0012540499681456293,0.9993628494502665,-0.000957026982757722,0.04928256369353079,0.007849060183234169,momentum_baseline,none,4501,0.03298292621219918,0.04127588320393162,0.010837714544509642,0.9618334801968729,5.231527117862131e-06,0.17989915797638245,0.0027662631648981417,0.02907920604145378,0.03594282743085926,88.1644213565819
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_10000_20000,5001,0.017457943715458852,0.01894301588863549,0.006181138066120367,0.8234168014193234,0.01745539311908865,0.037143778486782075,0.03256049370963421,momentum_baseline,none,5001,0.03551849144556949,0.044601484086257574,0.012628473254734743,0.021074251470880268,0.018245187932567315,0.1833267369260998,0.007653356070774997,0.01806054773011064,0.025658468197622086,50.848296183377116
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_20000_30000,5001,0.029224137809592394,0.031833809597922764,0.010525473318649321,0.6694106169965515,0.02905159511412691,0.07336306944223825,0.0005282521868066326,momentum_baseline,none,5001,0.039836180659503104,0.049750368243529255,0.014496501715749805,0.19257113231493506,0.026982164063859625,0.1633332522191182,0.0544410128038475,0.01061204284991071,0.01791655864560649,26.639207560123257
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_20000_27125,3563,0.032107660981697775,0.03228895743001853,0.011497727026025263,0.3765962067865445,0.032107660981697775,0.045969199295639473,0.028157845543484772,momentum_baseline,none,3563,0.04009493814371008,0.049796380102521604,0.014480788944443518,-0.48271247740155876,0.029296057734025476,0.16301170518663355,0.022164973386674447,0.007987277162012307,0.017507422672503076,19.920911545951135
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_27126_30000,1438,0.022079497293450913,0.030676987345979304,0.008116474737717132,0.44874491921496684,0.021479437474241653,0.07336306944223825,0.0005282521868066326,momentum_baseline,none,1438,0.039195045112751035,0.04963617873782878,0.014535433985683258,-0.4431911946338223,0.021248921263580817,0.1633332522191182,0.0544410128038475,0.017115547819300123,0.018959191391849477,43.66763138061052
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_27126_33906,3391,0.01515420695218424,0.021812765989958547,0.005611583086614378,0.7683154077782105,0.003919479755808121,0.07336306944223825,0.01737102120968448,momentum_baseline,none,3391,0.035358896851653436,0.044598670242173316,0.013173520419694818,0.03145569419894911,0.006407503781451169,0.1633332522191182,0.058343827724042896,0.0202046898994692,0.02278590425221477,57.14174281012502
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,steps_30000_33906,1954,0.010050218484678174,0.01153867538650117,0.0037653978828880524,0.92088114132693,-0.009005631263153006,0.02430083081040646,0.01737102120968448,momentum_baseline,none,1954,0.03254554010472091,0.040499253337113385,0.012175053230959609,0.025319819029573032,-0.004490103603543735,0.14762860940402645,0.058343827724042896,0.022495321620042738,0.028960577950612215,69.11952159239068
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,last_512_sampled,512,0.01574802077642404,0.015927021373650846,0.005906867184900707,0.844263640106254,-0.01574802077642404,0.02430083081040646,0.01737102120968448,momentum_baseline,none,512,0.034096744081436106,0.042137785433193964,0.012753014982178342,-0.09009490168107748,-0.012147904941387837,0.14762860940402645,0.058343827724042896,0.018348723305012065,0.026210764059543118,53.813710954888464
step_spline_811_selected,cosine,811,spline_s0.01_shrink1_clip0.15,last_2048_sampled,2048,0.009710907305101216,0.01129312848257506,0.0036377573064812294,0.9248918442544586,-0.008683597346837022,0.02430083081040646,0.01737102120968448,momentum_baseline,none,2048,0.032416249889189584,0.040386037037046234,0.012123680388688132,0.03944765124845617,-0.004211482873508487,0.14762860940402645,0.058343827724042896,0.022705342584088368,0.029092908554471174,70.04308845626315
step_spline_811_selected,cosine,wsd,spline_s0.01_shrink1_clip0.15,full,16454,0.020877761799257585,0.025243033889235173,0.007453433327301497,0.9789902948605604,0.020419877778203234,0.056607567345633214,0.0046002787572367865,momentum_baseline,none,16454,0.03772038950173981,0.04727466039406645,0.013381652377841665,0.9263125221222073,0.02083323488154805,0.19079639100935175,0.04566822982802332,0.016842627702482224,0.022031626504831276,44.651256057961376
step_spline_811_selected,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_1000_10000,4501,0.005579141184913888,0.0068270016726420775,0.0018473764012225489,0.9989663071124915,0.0045307321130739,0.04490469706425371,0.012710176592535927,momentum_baseline,none,4501,0.03326441592472226,0.04171065695453741,0.010977458082824266,0.9614143722790454,0.0054929906229494825,0.18717473933624573,0.0076273795741998995,0.027685274739808374,0.03488365528189533,83.22789975468216
step_spline_811_selected,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_10000_20000,5001,0.022589295757124886,0.023663024400579373,0.008006962736522995,0.7229999416782614,0.022589295757124886,0.042270493193202974,0.03693237519461956,momentum_baseline,none,5001,0.03742600706816247,0.04692632628320789,0.013345149718597528,-0.08936262092406966,0.023379090570603552,0.19079639100935175,0.0032814745857896455,0.014836711311037587,0.02326330188262852,39.64278445204182
step_spline_811_selected,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_20000_30000,5001,0.0376719726516637,0.03800642233833258,0.013583331191938743,0.37029285321241545,0.0376719726516637,0.056607567345633214,0.026980446011870107,momentum_baseline,none,5001,0.0436192102526355,0.053749528471638316,0.015873547603660113,-0.25942978375884795,0.035600683440698465,0.17018541155138633,0.0826127090682327,0.005947237600971801,0.015743106133305734,13.634445847429035
step_spline_811_selected,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_20000_27125,3563,0.03687330215909763,0.037026810569999756,0.013227209173257176,0.17925730180732635,0.03687330215909763,0.05064816391050719,0.033068553017239655,momentum_baseline,none,3563,0.042761045187581975,0.05272824397735781,0.015476739415153028,-0.6644127558613102,0.03406169891142533,0.16587010553148218,0.02707568086042933,0.005887743028484348,0.01570143340735805,13.768940872834836
step_spline_811_selected,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_27126_30000,1438,0.03965087596530271,0.04033126643659661,0.014465711409297867,0.21391521604559094,0.03965087596530271,0.056607567345633214,0.026980446011870107,momentum_baseline,none,1438,0.0457455260570762,0.056200108179740284,0.01685673785098332,-0.5263705356798856,0.0394138975420894,0.17018541155138633,0.0826127090682327,0.006094650091773492,0.015868841743143673,13.322942410082382
step_spline_811_selected,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_27126_33906,3391,0.021855493084408036,0.02764381954765215,0.008012338642647806,0.7304224076999709,0.02102531483313215,0.056607567345633214,0.0046002787572367865,momentum_baseline,none,3391,0.03875375885797014,0.04864293911703619,0.014418538275770503,0.16530596920383311,0.02352986631881083,0.17018541155138633,0.04566822982802332,0.016898265773562102,0.02099911956938404,43.60419807403221
step_spline_811_selected,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_30000_33906,1954,0.008762025515421816,0.011378799387637398,0.003264247619962576,0.9253462203104883,0.0073213221121073094,0.030890022685743812,0.0046002787572367865,momentum_baseline,none,1954,0.033630779184426494,0.04225317405807368,0.01263279591642764,-0.029384434072413423,0.011870626781285157,0.1463478837697627,0.04566822982802332,0.02486875366900468,0.030874374670436286,73.94640942640046
step_spline_811_selected,cosine,wsd,spline_s0.01_shrink1_clip0.15,last_512_sampled,512,0.0028013176008139023,0.003452028718567237,0.0010512148323269127,0.9927141840361106,-0.002125285596000506,0.011526650648259196,0.0046002787572367865,momentum_baseline,none,512,0.032466789435841165,0.04040861527782263,0.012218656617885779,0.0016626177046190627,0.0014885610279139413,0.13557383403272016,0.04566822982802332,0.02966547183502726,0.03695658655925539,91.37174432861713
step_spline_811_selected,cosine,wsd,spline_s0.01_shrink1_clip0.15,last_2048_sampled,2048,0.009557270214496141,0.012456663140850624,0.0035573976543761205,0.9115429712139942,0.008182692846294705,0.03438786097435509,0.0046002787572367865,momentum_baseline,none,2048,0.033818500438614396,0.042537748476090195,0.01269955594350467,-0.03152059913986127,0.012689153799092266,0.16124220174539472,0.04566822982802332,0.024261230224118253,0.030081085335239573,71.739521000217
