family,target_schedule,window,n,residual_mae,residual_rmse,residual_corr,residual_spearman,sign_agreement,signed_bias,pred_residual_std,true_residual_std,step_residual_mae,step_residual_corr,residual_mae_gap_vs_step,residual_corr_gap_vs_step,verdict
s1_clamp,811,full,16454,0.01288802889152847,0.016260461282462422,-0.03391315616437149,-0.04415512412259258,0.4323568737085207,0.005463247707250403,0.001928542493861734,0.015128034008658621,0.011688533342955106,0.372930501107507,0.001199495548573364,-0.40684365727187843,phase_alignment_failure
s1_ratio,811,full,16454,0.01471958676486637,0.023685621509184948,-0.02329866965894552,-0.04943090063892637,0.48820955390786436,0.0024254205919617706,0.017713881844919562,0.015128034008658621,0.011688533342955106,0.372930501107507,0.0030310534219112634,-0.3962291707664525,phase_alignment_failure
s1_raw,811,full,16454,0.07894473592718183,0.10784917495424272,-0.12291599718663652,-0.10201018116700017,0.4323568737085207,0.07426714177087917,0.07488970133748653,0.015128034008658621,0.011688533342955106,0.372930501107507,0.06725620258422672,-0.4958464982941435,phase_alignment_failure
step_abs,811,full,16454,0.011688533342955106,0.01476680898815108,0.372930501107507,0.35970534189938635,0.6209432356873709,0.004545853832681289,0.006246094574044545,0.015128034008658621,0.011688533342955106,0.372930501107507,0.0,0.0,step_reference
s1_clamp,811,last_2048_sampled,2048,0.012046463383113458,0.015047164072196594,,,0.55078125,0.00010632064865100967,6.505213034913027e-19,0.015046788445886864,0.011157842352946446,0.4281846963033557,0.0008886210301670121,,phase_alignment_failure
s1_ratio,811,last_2048_sampled,2048,0.012302299377210807,0.015272157864996427,0.030714082291052325,0.03405018776361651,0.4697265625,-0.002398839908583994,0.001598859106501122,0.015046788445886864,0.011157842352946446,0.4281846963033557,0.0011444570242643611,-0.3974706140123034,phase_alignment_failure
s1_raw,811,last_2048_sampled,2048,0.1485237510576538,0.14928399268096762,,,0.55078125,0.1485237510576538,2.7755575615628914e-17,0.015046788445886864,0.011157842352946446,0.4281846963033557,0.13736590870470736,,phase_alignment_failure
step_abs,811,last_2048_sampled,2048,0.011157842352946446,0.013982283106978006,0.4281846963033557,0.4193556675268812,0.62890625,-0.003256906543636158,0.006416565857554096,0.015046788445886864,0.011157842352946446,0.4281846963033557,0.0,0.0,step_reference
s1_clamp,811,steps_10000_20000,5001,0.01276307067190504,0.01608185991847527,-0.024872829944932364,-0.021917212477541723,0.46630673865226957,0.006691376024010915,0.0022558526615552906,0.014392626919694793,0.011509350096546196,0.4094956202742064,0.0012537205753588437,-0.4343684502191387,phase_alignment_failure
s1_ratio,811,steps_10000_20000,5001,0.012525580265508087,0.015783240590991905,-0.007303114369999468,-0.009153486727684451,0.5288942211557689,0.005972496821637939,0.0024055271537671372,0.014392626919694793,0.011509350096546196,0.4094956202742064,0.0010162301689618913,-0.41679873464420586,phase_alignment_failure
s1_raw,811,steps_10000_20000,5001,0.032300449630078665,0.06052244779044207,-0.0746116759025347,-0.04214895144311191,0.46630673865226957,0.026717946567732517,0.0513009783009761,0.014392626919694793,0.011509350096546196,0.4094956202742064,0.02079109953353247,-0.4841072961767411,phase_alignment_failure
step_abs,811,steps_10000_20000,5001,0.011509350096546196,0.0145052633990087,0.4094956202742064,0.39614347710226055,0.6330733853229354,0.0061540366746912585,0.006238242601027189,0.014392626919694793,0.011509350096546196,0.4094956202742064,0.0,0.0,step_reference
s1_clamp,811,steps_1000_10000,4501,0.010822616838141013,0.013555226579818053,0.09225339685302418,0.0829294949444902,0.5341035325483225,-7.430305366321323e-05,0.002359909216115631,0.013567498878218256,0.009678248892573953,0.45396659936288447,0.0011443679455670607,-0.3617132025098603,phase_alignment_failure
s1_ratio,811,steps_1000_10000,4501,0.018240412574576582,0.03604180412181384,0.04087746866441196,-0.0044439088736731025,0.4854476782937125,-0.007772581177135264,0.033032738994623265,0.013567498878218256,0.009678248892573953,0.45396659936288447,0.008562163682002629,-0.41308913069847253,phase_alignment_failure
s1_raw,811,steps_1000_10000,4501,0.010822616838141013,0.013555226579818053,0.09225339685302418,0.0829294949444902,0.5341035325483225,-7.430305366321323e-05,0.002359909216115631,0.013567498878218256,0.009678248892573953,0.45396659936288447,0.0011443679455670607,-0.3617132025098603,phase_alignment_failure
step_abs,811,steps_1000_10000,4501,0.009678248892573953,0.01209304753056207,0.45396659936288447,0.43510268159307647,0.6449677849366807,-0.00029706353292580627,0.0060489015573456,0.013567498878218256,0.009678248892573953,0.45396659936288447,0.0,0.0,step_reference
s1_clamp,811,steps_27126_33906,3391,0.013341972806224211,0.016859901178784293,,,0.4541433205544087,0.003998233018597426,8.673617379884035e-19,0.0163789621309584,0.012156623824736403,0.34899761498099496,0.0011853489814878087,,phase_alignment_failure
s1_ratio,811,steps_27126_33906,3391,0.01333473219526024,0.01677407963815831,-0.10754933652318996,-0.08982194003416959,0.46859333529932173,0.001837584969541191,0.0018197486197079266,0.0163789621309584,0.012156623824736403,0.34899761498099496,0.001178108370523838,-0.4565469515041849,phase_alignment_failure
s1_raw,811,steps_27126_33906,3391,0.1524156634276002,0.15329319899644236,,,0.4541433205544087,0.1524156634276002,2.7755575615628914e-17,0.0163789621309584,0.012156623824736403,0.34899761498099496,0.14025903960286382,,phase_alignment_failure
step_abs,811,steps_27126_33906,3391,0.012156623824736403,0.015428165607860322,0.34899761498099496,0.34383691534105654,0.6290179887938662,0.0013688365118275376,0.006464106806135006,0.0163789621309584,0.012156623824736403,0.34899761498099496,0.0,0.0,step_reference
s1_clamp,811,steps_30000_33906,1954,0.012092760652026743,0.015082747818302105,,,0.553224155578301,2.3436389217761244e-06,6.505213034913027e-19,0.015082747636218462,0.011227951400207745,0.4260726430411094,0.0008648092518189973,,phase_alignment_failure
s1_ratio,811,steps_30000_33906,1954,0.01236701322580594,0.015334822222172943,0.026488472292110824,0.030254876221556284,0.4677584442169908,-0.0025212183249935585,0.0016121894963026001,0.015082747636218462,0.011227951400207745,0.4260726430411094,0.0011390618255981942,-0.3995841707489986,phase_alignment_failure
s1_raw,811,steps_30000_33906,1954,0.14841977404792456,0.14918417679061957,,,0.553224155578301,0.14841977404792456,0.0,0.015082747636218462,0.011227951400207745,0.4260726430411094,0.13719182264771682,,phase_alignment_failure
step_abs,811,steps_30000_33906,1954,0.011227951400207745,0.014060147731252413,0.4260726430411094,0.41670050946903414,0.627942681678608,-0.0033906138920381168,0.006414503958737657,0.015082747636218462,0.011227951400207745,0.4260726430411094,0.0,0.0,step_reference
s1_clamp,wsd,full,16454,0.013701274096657763,0.017262650466937247,-0.061035049109695975,-0.07702911012337722,0.38969247599367934,0.008178298338208743,0.001928542493861734,0.0149623813874819,0.012393946219913967,0.3871950085812913,0.001307327876743796,-0.4482300576909873,phase_alignment_failure
s1_ratio,wsd,full,16454,0.015624072270847588,0.0250919739005777,-0.046479038651146755,-0.03192107053975799,0.5023702443174912,0.004865540610371909,0.01886330633267538,0.0149623813874819,0.012393946219913967,0.3871950085812913,0.0032301260509336217,-0.4336740472324381,phase_alignment_failure
s1_raw,wsd,full,16454,0.08087926907285532,0.11036168050984113,-0.18790349371564205,-0.16006482155779617,0.38969247599367934,0.07698219240183753,0.07488970133748653,0.0149623813874819,0.012393946219913967,0.3871950085812913,0.06848532285294136,-0.5750985022969334,phase_alignment_failure
step_abs,wsd,full,16454,0.012393946219913967,0.01559601059704701,0.3871950085812913,0.37391031067001074,0.612070013370609,0.007260904463639629,0.006246094574044545,0.0149623813874819,0.012393946219913967,0.3871950085812913,0.0,0.0,step_reference
s1_clamp,wsd,last_2048_sampled,2048,0.013042767903950148,0.016473917279291518,,,0.3876953125,0.006400972222797632,6.505213034913027e-19,0.015179509383636644,0.01118627137420762,0.42297674314535677,0.0018564965297425268,,phase_alignment_failure
s1_ratio,wsd,last_2048_sampled,2048,0.012517312436631976,0.015747087657544564,0.02241517530255121,0.023545876636863146,0.53759765625,0.003971161588121636,0.0017182612324929058,0.015179509383636644,0.01118627137420762,0.42297674314535677,0.0013310410624243554,-0.40056156784280555,phase_alignment_failure
s1_raw,wsd,last_2048_sampled,2048,0.1548184026318004,0.1555607768641896,,,0.3876953125,0.1548184026318004,2.7755575615628914e-17,0.015179509383636644,0.01118627137420762,0.42297674314535677,0.14363213125759278,,phase_alignment_failure
step_abs,wsd,last_2048_sampled,2048,0.01118627137420762,0.01408621935583906,0.42297674314535677,0.4151821199679959,0.66015625,0.003037745030510463,0.006416565857554096,0.015179509383636644,0.01118627137420762,0.42297674314535677,0.0,0.0,step_reference
s1_clamp,wsd,steps_10000_20000,5001,0.013473002183248334,0.016934716171725178,-0.023687919301677806,-0.02056924204822341,0.45770845830833834,0.00850546968117187,0.0022558526615552906,0.014415688657475535,0.012251372071407488,0.4111842716842908,0.001221630111840847,-0.4348721909859686,phase_alignment_failure
s1_ratio,wsd,steps_10000_20000,5001,0.013174441644171348,0.016567816495484198,-0.003735649745140232,-0.01206384258534139,0.5302939412117577,0.007795670080918899,0.002377380641877503,0.014415688657475535,0.012251372071407488,0.4111842716842908,0.000923069572763861,-0.414919921429431,phase_alignment_failure
s1_raw,wsd,steps_10000_20000,5001,0.03311134303210334,0.061312764964678315,-0.0713791861965666,-0.04009170264025807,0.45770845830833834,0.028532040224893467,0.0513009783009761,0.014415688657475535,0.012251372071407488,0.4111842716842908,0.020859970960695855,-0.48256345788085736,phase_alignment_failure
step_abs,wsd,steps_10000_20000,5001,0.012251372071407488,0.015370895541738629,0.4111842716842908,0.3977199174799187,0.620875824835033,0.007968130331852214,0.006238242601027189,0.014415688657475535,0.012251372071407488,0.4111842716842908,0.0,0.0,step_reference
s1_clamp,wsd,steps_1000_10000,4501,0.010910755688895114,0.01371510931882498,0.09701905768240934,0.08692657146166871,0.53721395245501,0.001752478371394494,0.002359909216115631,0.013627325196116112,0.009764891686406419,0.4565506321435414,0.001145864002488695,-0.35953157446113204,phase_alignment_failure
s1_ratio,wsd,steps_1000_10000,4501,0.019364434800179745,0.03821656821333827,0.00606888904279311,-0.01217358463419815,0.49855587647189514,-0.007029031686909138,0.035088440072735996,0.013627325196116112,0.009764891686406419,0.4565506321435414,0.009599543113773326,-0.4504817431007483,phase_alignment_failure
s1_raw,wsd,steps_1000_10000,4501,0.010910755688895114,0.01371510931882498,0.09701905768240934,0.08692657146166871,0.53721395245501,0.001752478371394494,0.002359909216115631,0.013627325196116112,0.009764891686406419,0.4565506321435414,0.001145864002488695,-0.35953157446113204,phase_alignment_failure
step_abs,wsd,steps_1000_10000,4501,0.009764891686406419,0.012221537683828854,0.4565506321435414,0.43750693149354614,0.6405243279271273,0.0015297178921319006,0.0060489015573456,0.013627325196116112,0.009764891686406419,0.4565506321435414,0.0,0.0,step_reference
s1_clamp,wsd,steps_27126_33906,3391,0.014994842644738642,0.018782760603212566,,,0.29283397227956354,0.010278111438334467,8.673617379884035e-19,0.015721085240490627,0.013197436377395212,0.36455694999053606,0.00179740626734343,,phase_alignment_failure
s1_ratio,wsd,steps_27126_33906,3391,0.014249445370174757,0.017899150628919055,-0.03336545128884655,-0.03623850055584555,0.513417870834562,0.008220153199241707,0.0019108842899526824,0.015721085240490627,0.013197436377395212,0.36455694999053606,0.0010520089927795444,-0.3979224012793826,phase_alignment_failure
s1_raw,wsd,steps_27126_33906,3391,0.15869554184733725,0.15947234093521906,,,0.29283397227956354,0.15869554184733725,2.7755575615628914e-17,0.015721085240490627,0.013197436377395212,0.36455694999053606,0.14549810546994205,,phase_alignment_failure
step_abs,wsd,steps_27126_33906,3391,0.013197436377395212,0.016533162458863788,0.36455694999053606,0.35812215771428785,0.6269537009731643,0.007648714931564579,0.006464106806135006,0.015721085240490627,0.013197436377395212,0.36455694999053606,0.0,0.0,step_reference
s1_clamp,wsd,steps_30000_33906,1954,0.012951346922690858,0.016350287082592417,,,0.39662231320368474,0.006102271330457985,6.505213034913027e-19,0.015168855338906065,0.01111536753499609,0.4235140372500568,0.0018359793876947684,,phase_alignment_failure
s1_ratio,wsd,steps_30000_33906,1954,0.012484226756167895,0.01569071405861048,0.0105810354851114,0.014090499471589853,0.5317297850562948,0.0037030934437834403,0.0017152353821246256,0.015168855338906065,0.01111536753499609,0.4235140372500568,0.0013688592211718049,-0.4129330017649454,phase_alignment_failure
s1_raw,wsd,steps_30000_33906,1954,0.15451970173946075,0.15526246293919396,,,0.39662231320368474,0.15451970173946075,0.0,0.015168855338906065,0.01111536753499609,0.4235140372500568,0.14340433420446466,,phase_alignment_failure
step_abs,wsd,steps_30000_33906,1954,0.01111536753499609,0.014005856087562671,0.4235140372500568,0.4148314852418822,0.6617195496417605,0.0027093137994980915,0.006414503958737657,0.015168855338906065,0.01111536753499609,0.4235140372500568,0.0,0.0,step_reference
