step,objective,best_objective,L0,A,B,C,alpha,beta,gamma
0.0,0.02153604063122585,0.02153604063122585,2.4232272814246603,1.467007174791169,499.9500113881036,0.9686863214183464,0.5045403577008107,0.49875000738091385,0.4987500081632406
25.0,0.009270978684730834,0.009270978684730834,2.648279395920364,1.2345862868652084,498.9774228282233,0.47857621426228614,0.4962619216689782,0.47421449490532214,0.47424184156816496
50.0,0.0054397478152966566,0.0054397478152966566,2.7219611540519835,0.8167666730654188,497.945635592391,0.14217694086497723,0.4947358246330148,0.44347906939395,0.4417665781775317
75.0,0.0039299634586333,0.0039299634586333,2.7088186577112596,0.6779642799423525,497.2952225455227,0.03953716764269903,0.49822485007307354,0.4187050178548283,0.41231811775650423
100.0,0.00362063894684551,0.00362063894684551,2.658005661826283,0.7857828662470968,497.1488072336129,0.026958186097927345,0.5029187581208471,0.41219944415250964,0.40384606164371684
125.0,0.0032872552537345405,0.0032872552537345405,2.60040754280581,0.9494926119514849,497.0862577938931,0.02081582977581558,0.5088072455913328,0.40871341721550025,0.39849559482406705
150.0,0.0030956643347662136,0.0030956643347662136,2.55398638639099,1.0565835203884004,497.0073609143972,0.013556591140523218,0.5151960117448863,0.40377557877018017,0.3901681104553882
175.0,0.0029997003936078665,0.0029997003936078665,2.520688657080328,1.1458021939305179,496.9632976900894,0.010145904414077058,0.521494957764604,0.4008079254951466,0.3848420367868563
200.0,0.0029694476005894524,0.0029694476005894524,2.506460016369099,1.1785377844089784,496.93345816919873,0.00808479233360108,0.5267018738564558,0.39868705957477935,0.3808716669767843
225.0,0.002958151129584025,0.002958151129584025,2.5003150538518133,1.2005162302985124,496.92002319156677,0.0071805568347837025,0.531453831172237,0.39768037216246177,0.3790117011106064
250.0,0.0029504750061612375,0.0029504750061612375,2.4976808831060064,1.2151431532004828,496.91163708717056,0.0066062110117538365,0.5362527483263609,0.3970244891580089,0.377834332202672
275.0,0.0029447253029124066,0.0029447253029124066,2.4981689133288105,1.2204077405153015,496.9052966854555,0.006167981616880794,0.541087692095738,0.39651302050525805,0.3769429798344572
300.0,0.002940370934339267,0.002940370934339267,2.5001504577359106,1.2231416533242792,496.90273545888147,0.005939658571358473,0.5458929642416704,0.3962786632097914,0.3766279145286649
325.0,0.0029365996680413855,0.0029365996680413855,2.503713117684913,1.2219865366659453,496.9029598863008,0.0058537955141305656,0.550625048680092,0.3962496308593462,0.3767483294737689
350.0,0.002932963153817883,0.002932963153817883,2.507947940843288,1.2197865428091001,496.90529702274415,0.005871279349865052,0.5553638985126576,0.39637613664040505,0.3772040652192586
375.0,0.0029292949229941176,0.0029292949229941176,2.5125953872363387,1.2170139779451437,496.90890911325687,0.005948751205579408,0.5601743182632473,0.3965950568129297,0.37786333798240684
400.0,0.002925569942135421,0.002925569942135421,2.517522838613028,1.2137607248395257,496.91326177041634,0.006059315903211603,0.5650904675854427,0.3968658406582052,0.37864071832187085
425.0,0.0029217724861058105,0.0029217724861058105,2.522611042467786,1.2103146652279904,496.91797280893974,0.006183431700320957,0.5701574486158024,0.3971594895052295,0.3794749558737548
450.0,0.0029179144814586193,0.0029179144814586193,2.5278149186566865,1.2068114548008098,496.9229686360468,0.0063172862951139195,0.5753798819972697,0.3974701881106889,0.380353809624178
475.0,0.002914009631282879,0.002914009631282879,2.533104291122284,1.2032451979230143,496.92823086710604,0.006459957858433933,0.5807502760910169,0.39779629781359777,0.38127386422426424
500.0,0.0029100682514590455,0.0029100682514590455,2.5384521199922987,1.199658629703691,496.9336985641433,0.006608140503560662,0.5862683175413202,0.39813307053538405,0.3822251718403376
525.0,0.0029061004468052425,0.0029061004468052425,2.5438371838009934,1.1960826998438223,496.9393392937016,0.006759972656073183,0.5919307145409068,0.398477927492819,0.38320238532004997
550.0,0.0029021161100593815,0.0029021161100593815,2.5492459519946835,1.192531688265013,496.94514354916214,0.006914820889086507,0.5977313461181083,0.39883001659672135,0.3842038013452263
575.0,0.0028981262705401007,0.0028981262705401007,2.5546484205101727,1.1890453745875194,496.9511093013929,0.007072503173489941,0.6036636321858052,0.399189066000402,0.3852289410582336
600.0,0.0028941500876121496,0.0028941500876121496,2.5600202890891963,1.18565595775121,496.9571923030393,0.007230652272935868,0.6097168135160886,0.3995518560168956,0.3862711440424716
625.0,0.0028902002422166928,0.0028902002422166928,2.5653687015418916,1.1823375681409063,496.9633944486771,0.007389440017309942,0.6158768888527795,0.39991853167936087,0.3873307804845385
650.0,0.0028862861520975035,0.0028862861520975035,2.5706902549461157,1.179082320759198,496.9697318982822,0.007549811776563519,0.6221326917931989,0.4002902294512746,0.3884103256713361
675.0,0.0028823986453699975,0.0028823986453699975,2.575854610804961,1.176464134221742,496.97631269527005,0.007718182670654761,0.6284893156521182,0.40067461883013117,0.389525975729424
700.0,0.002878492950184216,0.002878492950184216,2.5809307253213003,1.174202844649003,496.9827743031641,0.007871284624076682,0.6350071291169762,0.40104506541341145,0.3906238707907587
725.0,0.002874578250208774,0.002874578250208774,2.5860069072458525,1.1717564228560642,496.9891375919879,0.008010019157075237,0.6416729789938008,0.40140331164857146,0.3917076160471145
750.0,0.002870743336808818,0.002870743336808818,2.591341820013407,1.1684210285784518,496.9961902505144,0.008184252576654696,0.6483376384178942,0.4018060792612085,0.39289318717300636
775.0,0.0028669945864867865,0.0028669945864867865,2.5967605649607117,1.1648723282939137,497.003766215976,0.008384027182989378,0.6550014518513704,0.40224075403236154,0.3941552108105832
800.0,0.002863324134357715,0.002863324134357715,2.602161263123447,1.1613003170988756,497.01159288026275,0.008591411294290764,0.6616984570803142,0.4026871111722243,0.3954522989682825
825.0,0.002859750053646209,0.002859750053646209,2.607452620024318,1.157797536337677,497.01922579699897,0.008777859874936617,0.6684504442468645,0.403113752168815,0.39671980198623896
850.0,0.0028562771333910278,0.0028562771333910278,2.6124632691199414,1.1547430656218203,497.0263668219519,0.008924937834057851,0.6752715790095988,0.4035007359906804,0.39791520567075217
875.0,0.0028529150081739348,0.0028529150081739348,2.617454207536742,1.151790238754294,497.03372937831284,0.009079982867761818,0.6820839583162664,0.40389895388734165,0.39914136819325474
900.0,0.0028496836350081494,0.0028496836350081494,2.6224026122480044,1.1487711504252345,497.041301655784,0.009242762465718521,0.6888560306637806,0.4043075731160287,0.4003970377330206
925.0,0.002846559199803225,0.002846559199803225,2.6272699216200284,1.1458050824490587,497.0489200571568,0.009401074801170025,0.6956156171386466,0.4047146150796383,0.4016585583487852
950.0,0.0028435255794195032,0.0028435255794195032,2.6320279162523,1.142901270084643,497.0566221747023,0.009556118012650505,0.7023780414271112,0.40512229046506526,0.40293097729859634
975.0,0.0028405723375786807,0.0028405723375786807,2.6366018384412535,1.1402589194256865,497.0642111527173,0.009693895810400168,0.7091691271226416,0.4055168670088305,0.40418693187201993
1000.0,0.002837701962435059,0.002837701962435059,2.6410842982446843,1.137799683466682,497.0719201783797,0.009830324127556224,0.7159642128006791,0.4059146702523565,0.4054593410135406
1025.0,0.0028349360517183784,0.0028349360517183784,2.6455251553392793,1.1354346178425097,497.07978823204144,0.009968420135509849,0.7227272602124958,0.40631846511523007,0.4067539139477914
1050.0,0.002832254287869661,0.002832254287869661,2.650069187762871,1.132824658545616,497.0880933667649,0.01012530382232783,0.7294425743932265,0.40674645119707425,0.4081076280321756
1075.0,0.002829627921584848,0.002829627921584848,2.654489381705369,1.1307088689140041,497.09660820389126,0.010282779523272341,0.7361761648434069,0.40718192680443244,0.40948781770010967
1100.0,0.002826996423886009,0.002826996423886009,2.658497826145701,1.1296061257251466,497.1046557490857,0.010391675086202555,0.7430586737967587,0.4075783483567116,0.41080166958882314
1125.0,0.002824344103991393,0.002824344103991393,2.662376638892009,1.1288190314407451,497.1127291748667,0.01048673511069272,0.7500752817691609,0.4079698774570408,0.4121169498389514
1150.0,0.002821694701741202,0.002821694701741202,2.6659656968794243,1.1286608439752803,497.1205278868747,0.010550014008808157,0.7572138569046427,0.4083374068620696,0.41339576753539886
1175.0,0.0028190662772808297,0.0028190662772808297,2.669427720596059,1.1286422890988963,497.128217817624,0.010595956949564523,0.7644312931870394,0.4086933726691365,0.4146625284374436
1200.0,0.0028166739710209984,0.0028166739710209984,2.6735679890942823,1.1261371301354335,497.13724332270965,0.010730519099801248,0.7713539647229244,0.4091363863854105,0.4161128807920691
1225.0,0.0028146760059008305,0.0028146760059008305,2.677502503102077,1.1236795744953902,497.1463930545752,0.010876856996026864,0.7777449687209527,0.40958653379684135,0.41759038992052133
1250.0,0.002813034767143654,0.002813034767143654,2.6809713772402324,1.121585780936871,497.1550155705655,0.010989809176765753,0.7836097432925783,0.4100004840960544,0.41900992450340085
1275.0,0.0028116771700941907,0.0028116771700941907,2.684033705038447,1.1198137202030514,497.16316917058276,0.011072093205940017,0.7889995141326879,0.4103822506423383,0.4203797477115562
1300.0,0.002810554585041325,0.002810554585041325,2.6868194457093004,1.1181969477859899,497.1711037392042,0.011140907843363154,0.7939339817043456,0.4107486799907924,0.42173322011482206
1325.0,0.002809629314556859,0.002809629314556859,2.6893306706406532,1.1167558137078484,497.1787815965461,0.011193459036520201,0.798442140555476,0.4110974362037319,0.4230659503914412
1350.0,0.0028088688721173804,0.0028088688721173804,2.6915944339958595,1.115464818806948,497.1862293551435,0.011231490211280944,0.8025474123874795,0.4114304200560741,0.42438181738958214
1375.0,0.0028082452597876038,0.0028082452597876038,2.6936295793809144,1.1143125234797187,497.1934585868347,0.011255612644828092,0.8062747783361385,0.41174847942638054,0.42568259831731836
1400.0,0.002807733624094696,0.002807733624094696,2.695458027188612,1.1132248407166958,497.2004763510765,0.011265992357821228,0.809650829716842,0.41205209916741453,0.4269693058558187
1425.0,0.00280730835364765,0.00280730835364765,2.697096591159659,1.1122158924640688,497.207311259666,0.011264164838109787,0.8127216315768107,0.4123431200191053,0.4282453242562617
1450.0,0.002806955083548377,0.002806955083548377,2.6985303711756154,1.1114456146260734,497.21392858468226,0.011248193896055216,0.815514318806214,0.4126195070268901,0.4295059446347135
1475.0,0.002806635051416419,0.002806635051416419,2.6995002216379036,1.1121557754416502,497.21987610085904,0.011185067082853689,0.818172199077915,0.41285120066088404,0.43069241446415596
1500.0,0.0028063172173129506,0.0028063172173129506,2.7003925580545847,1.1129419491566037,497.2255598687539,0.011116164107114867,0.8207278066158298,0.41306947002886457,0.43183467816274157
1525.0,0.0028063156159382143,0.0028063156159382143,2.7003752745380925,1.112977734786893,497.2257042088132,0.01111385318810958,0.8207398951280507,0.4130754503524249,0.4318407963588036
1550.0,0.002806314018687502,0.002806314018687502,2.7003707610624796,1.1130081261232199,497.22584928036554,0.011111411057472539,0.8207519843786981,0.4130815004938864,0.4318469366450781
1575.0,0.0028063124394003248,0.0028063124394003248,2.7003651586659023,1.1130364018128163,497.225996295719,0.011109148632057204,0.8207640691362793,0.41308765635845995,0.4318531176104806
1600.0,0.002806310873960401,0.002806310873960401,2.7003609601733047,1.1130606041761655,497.2261449622664,0.011107090997439234,0.8207761488637798,0.41309389167010924,0.4318593303785421
1625.0,0.0028063093193580377,0.0028063093193580377,2.7003580845020623,1.1130818102258624,497.22629504103776,0.011105248684061144,0.8207882242895731,0.413100189021087,0.4318655687642157
1650.0,0.0028063077728954114,0.0028063077728954114,2.700356452535838,1.1130999947506002,497.226446253408,0.011103612364029873,0.8208002964552917,0.413106530569068,0.43187182595703943
1675.0,0.0028063062323399565,0.0028063062323399565,2.7003558957539826,1.113115415086156,497.2265983440266,0.011102165219627294,0.8208123663248252,0.4131129011481413,0.43187809595325327
1700.0,0.0028063046959785013,0.0028063046959785013,2.700356297461203,1.113128437457669,497.22675108613464,0.011100885271313848,0.8208244347217363,0.41311928807990744,0.43188437358218856
1725.0,0.0028063031625704185,0.0028063031625704185,2.700357512778219,1.1131394243568768,497.2269042874815,0.011099748140249135,0.8208365023465722,0.41312568122184706,0.43189065460122306
1750.0,0.0028063016312583518,0.0028063016312583518,2.700359397886362,1.113148736427336,497.2270577913957,0.011098729201325977,0.8208485697586897,0.41313207281383235,0.43189693568743337
1775.0,0.0028063001014701234,0.0028063001014701234,2.700361818704358,1.1131567104789675,497.2272114751771,0.011097805272525905,0.8208606373807947,0.4131384572269736,0.43190321437253587
1800.0,0.0028062985728314663,0.0028062985728314663,2.700364656694598,1.1131636437492363,497.22736524660627,0.01109695575082202,0.8208727055124986,0.41314483064713825,0.4319094889372114
1825.0,0.0028062970450980296,0.0028062970450980296,2.700367811911006,1.1131697863575143,497.22751903937416,0.011096163200981422,0.8208847743491196,0.413151190731272,0.43191575828350176
1850.0,0.002806295518107426,0.002806295518107426,2.700371203596056,1.1131753402182887,497.2276728081364,0.011095413481361272,0.8208968440025775,0.4131575362699206,0.43192202180201594
1875.0,0.0028062939917478623,0.0028062939917478623,2.7003747688661086,1.113180462445295,497.22782652374303,0.011094695537282918,0.820908914521823,0.41316386688147216,0.4319282792471392
1900.0,0.002806292465938751,0.002806292465938751,2.7003784603068492,1.1131852714127835,497.2279801690015,0.0110940009981025,0.820920985911027,0.4131701827533343,0.4319345306286567
1925.0,0.0028062909406191723,0.0028062909406191723,2.7003822431417506,1.1131898538744165,497.22813373515856,0.011093323693534569,0.8209330581446164,0.41317648443575306,0.4319407761236962
1950.0,0.00280628941574113,0.00280628941574113,2.700386092435698,1.1131942719767653,497.22828721913834,0.011092659172290041,0.8209451311789387,0.4131827726866879,0.43194701600934216
1975.0,0.0028062878912655707,0.0028062878912655707,2.7003899906138105,1.1131985694737878,497.228440621481,0.011092004272976467,0.8209572049607885,0.4131890483615416,0.4319532506139386
1999.0,0.002806286428117412,0.002806286428117412,2.7003937674421348,1.1132026099802128,497.22858781341137,0.011091382549453358,0.8209687964418362,0.41319506199397327,0.4319592311875063
