split,schedule,config,smoothing,shrink,residual_clip,full_mae,full_rmse,full_r2,full_endpoint_abs_diff,hard_mae,hard_rmse,hard_r2,hard_endpoint_abs_diff
validation,811,spline_s0.01_shrink0.75_clip0.15,0.01,0.75,0.15,0.01842609805946791,0.022866123402080565,0.983310611864503,0.02767319324352213,0.02927405470522984,0.03258067828048739,0.6537164062322636,0.013108134171478714
test,wsd,spline_s0.01_shrink0.75_clip0.15,0.01,0.75,0.15,0.02248284585625677,0.026877678814396573,0.9761811726545221,0.014926373867666154,0.0370978397207416,0.03852735802510986,0.35291236714928576,0.04078130423966897
validation,811,spline_s0.01_shrink0.75_clip0.25,0.01,0.75,0.25,0.01842609805946791,0.022866123402080565,0.983310611864503,0.02767319324352213,0.02927405470522984,0.03258067828048739,0.6537164062322636,0.013108134171478714
test,wsd,spline_s0.01_shrink0.75_clip0.25,0.01,0.75,0.25,0.02248284585625677,0.026877678814396573,0.9761811726545221,0.014926373867666154,0.0370978397207416,0.03852735802510986,0.35291236714928576,0.04078130423966897
validation,811,spline_s0.01_shrink1_clip0.15,0.01,1.0,0.15,0.016447363760075835,0.020990382636932103,0.98593641507722,0.01737102120968448,0.029224137809592394,0.031833809597922764,0.6694106169965515,0.0005282521868066326
test,wsd,spline_s0.01_shrink1_clip0.15,0.01,1.0,0.15,0.020877761799257585,0.025243033889235173,0.9789902948605604,0.0046002787572367865,0.0376719726516637,0.03800642233833258,0.37029285321241545,0.026980446011870107
validation,811,spline_s0.01_shrink1_clip0.25,0.01,1.0,0.25,0.016447363760075835,0.020990382636932103,0.98593641507722,0.01737102120968448,0.029224137809592394,0.031833809597922764,0.6694106169965515,0.0005282521868066326
test,wsd,spline_s0.01_shrink1_clip0.25,0.01,1.0,0.25,0.020877761799257585,0.025243033889235173,0.9789902948605604,0.0046002787572367865,0.0376719726516637,0.03800642233833258,0.37029285321241545,0.026980446011870107
validation,811,spline_s0.01_shrink1.25_clip0.15,0.01,1.25,0.15,0.018859603398344808,0.02378746444677158,0.9819385907455499,0.007029283772468808,0.030586144533604788,0.0343074889578502,0.6160368573284086,0.014094622430515624
test,wsd,spline_s0.01_shrink1.25_clip0.15,0.01,1.25,0.15,0.02254618274216772,0.027586521928721318,0.9749082614290131,0.005765473632940665,0.03829200182823557,0.040236354306130574,0.29423211961457174,0.013250448380532909
validation,811,spline_s0.01_shrink1.25_clip0.25,0.01,1.25,0.25,0.018859603398344808,0.02378746444677158,0.9819385907455499,0.007029283772468808,0.030586144533604788,0.0343074889578502,0.6160368573284086,0.014094622430515624
test,wsd,spline_s0.01_shrink1.25_clip0.25,0.01,1.25,0.25,0.02254618274216772,0.027586521928721318,0.9749082614290131,0.005765473632940665,0.03829200182823557,0.040236354306130574,0.29423211961457174,0.013250448380532909
validation,811,spline_s0.05_shrink0.75_clip0.15,0.05,0.75,0.15,0.018917971624799582,0.02341130600429985,0.9825052954629165,0.027729937696646,0.029391198732075133,0.0329185826051767,0.646496329341639,0.014481705311680138
test,wsd,spline_s0.05_shrink0.75_clip0.15,0.05,0.75,0.15,0.022841244971745146,0.02734262558324252,0.9753499793389048,0.014983250089303457,0.03709252853972136,0.03881271140271304,0.3432915443147868,0.04217144236524373
validation,811,spline_s0.05_shrink0.75_clip0.25,0.05,0.75,0.25,0.018917971624799582,0.02341130600429985,0.9825052954629165,0.027729937696646,0.029391198732075133,0.0329185826051767,0.646496329341639,0.014481705311680138
test,wsd,spline_s0.05_shrink0.75_clip0.25,0.05,0.75,0.25,0.022841244971745146,0.02734262558324252,0.9753499793389048,0.014983250089303457,0.03709252853972136,0.03881271140271304,0.3432915443147868,0.04217144236524373
validation,811,spline_s0.05_shrink1_clip0.15,0.05,1.0,0.15,0.017001731330459492,0.021433078904074893,0.9853369453024141,0.01744697078152946,0.029377384861569544,0.032063669414035934,0.6646192608666874,0.0012939295577827359
test,wsd,spline_s0.05_shrink1_clip0.15,0.05,1.0,0.15,0.0212813374865551,0.025609800904249844,0.9783753413358488,0.0046764046945528825,0.0376615603067365,0.038195675867350946,0.3640059676019949,0.028824605546634352
validation,811,spline_s0.05_shrink1_clip0.25,0.05,1.0,0.25,0.017001731330459492,0.021433078904074893,0.9853369453024141,0.01744697078152946,0.029377384861569544,0.032063669414035934,0.6646192608666874,0.0012939295577827359
test,wsd,spline_s0.05_shrink1_clip0.25,0.05,1.0,0.25,0.0212813374865551,0.025609800904249844,0.9783753413358488,0.0046764046945528825,0.0376615603067365,0.038195675867350946,0.3640059676019949,0.028824605546634352
validation,811,spline_s0.05_shrink1.25_clip0.15,0.05,1.25,0.15,0.01901136100539353,0.023890455425999126,0.9817818536423641,0.007124585005880313,0.030591908525420878,0.03430487736074751,0.6160953121378303,0.01182839494325938
test,wsd,spline_s0.05_shrink1.25_clip0.15,0.05,1.25,0.15,0.022676015306369916,0.027670134930329687,0.974755927979453,0.005669951096807679,0.03827369194153752,0.04022717876166917,0.294553971149216,0.015544009404825587
validation,811,spline_s0.05_shrink1.25_clip0.25,0.05,1.25,0.25,0.01901136100539353,0.023890455425999126,0.9817818536423641,0.007124585005880313,0.030591908525420878,0.03430487736074751,0.6160953121378303,0.01182839494325938
test,wsd,spline_s0.05_shrink1.25_clip0.25,0.05,1.25,0.25,0.022676015306369916,0.027670134930329687,0.974755927979453,0.005669951096807679,0.03827369194153752,0.04022717876166917,0.294553971149216,0.015544009404825587
validation,811,spline_s0.1_shrink0.75_clip0.15,0.1,0.75,0.15,0.019436473571042334,0.02400104890020134,0.9816127926907273,0.02778011125822788,0.02950318013976336,0.03329416586179741,0.6383837396345637,0.01566352174540686
test,wsd,spline_s0.1_shrink0.75_clip0.15,0.1,0.75,0.15,0.023261525715163232,0.027847575940940193,0.9744311232010434,0.015033540160874992,0.03709204468137488,0.03912948548587312,0.33252820758045765,0.04336751298282593
validation,811,spline_s0.1_shrink0.75_clip0.25,0.1,0.75,0.25,0.019436473571042334,0.02400104890020134,0.9816127926907273,0.02778011125822788,0.02950318013976336,0.03329416586179741,0.6383837396345637,0.01566352174540686
test,wsd,spline_s0.1_shrink0.75_clip0.25,0.1,0.75,0.25,0.023261525715163232,0.027847575940940193,0.9744311232010434,0.015033540160874992,0.03709204468137488,0.03912948548587312,0.33252820758045765,0.04336751298282593
validation,811,spline_s0.1_shrink1_clip0.15,0.1,1.0,0.15,0.017600379042939162,0.02198393633769935,0.984573541168218,0.017514125102278122,0.029505054865066972,0.03237104606570204,0.6581582203607286,0.002861980505087125
test,wsd,spline_s0.1_shrink1_clip0.15,0.1,1.0,0.15,0.021741172782549594,0.02606845727830666,0.9775938356224898,0.0047437149569762305,0.03765217433771194,0.03844895983378798,0.3555431670606424,0.030411569148949713
validation,811,spline_s0.1_shrink1_clip0.25,0.1,1.0,0.25,0.017600379042939162,0.02198393633769935,0.984573541168218,0.017514125102278122,0.029505054865066972,0.03237104606570204,0.6581582203607286,0.002861980505087125
test,wsd,spline_s0.1_shrink1_clip0.25,0.1,1.0,0.25,0.021741172782549594,0.02606845727830666,0.9775938356224898,0.0047437149569762305,0.03765217433771194,0.03844895983378798,0.3555431670606424,0.030411569148949713
validation,811,spline_s0.1_shrink1.25_clip0.15,0.1,1.25,0.15,0.019324630539218113,0.024165165048794433,0.9813604741547669,0.007208849431949993,0.030635778647288333,0.034422278981589775,0.6134631408898599,0.009877914542120614
test,wsd,spline_s0.1_shrink1.25_clip0.15,0.1,1.25,0.15,0.022932308710889936,0.027900849367677286,0.9743332012417957,0.005585490997018994,0.03826267153571201,0.0403188504459419,0.29133509706637684,0.017518015038353596
validation,811,spline_s0.1_shrink1.25_clip0.25,0.1,1.25,0.25,0.019324630539218113,0.024165165048794433,0.9813604741547669,0.007208849431949993,0.030635778647288333,0.034422278981589775,0.6134631408898599,0.009877914542120614
test,wsd,spline_s0.1_shrink1.25_clip0.25,0.1,1.25,0.25,0.022932308710889936,0.027900849367677286,0.9743332012417957,0.005585490997018994,0.03826267153571201,0.0403188504459419,0.29133509706637684,0.017518015038353596
validation,811,spline_s0.25_shrink0.75_clip0.15,0.25,0.75,0.15,0.020691750586026025,0.02553488871610058,0.9791875470986282,0.0278919099782744,0.02986614023636021,0.03440599592967335,0.6138287477746801,0.018266845739121518
test,wsd,spline_s0.25_shrink0.75_clip0.15,0.25,0.75,0.15,0.024242020505821835,0.029183301327231022,0.971919444465005,0.015145598493101708,0.03709355577788478,0.04008111364936592,0.2996676274021247,0.04600223631892808
validation,811,spline_s0.25_shrink0.75_clip0.25,0.25,0.75,0.25,0.020691750586026025,0.02553488871610058,0.9791875470986282,0.0278919099782744,0.02986614023636021,0.03440599592967335,0.6138287477746801,0.018266845739121518
test,wsd,spline_s0.25_shrink0.75_clip0.25,0.25,0.75,0.25,0.024242020505821835,0.029183301327231022,0.971919444465005,0.015145598493101708,0.03709355577788478,0.04008111364936592,0.2996676274021247,0.04600223631892808
validation,811,spline_s0.25_shrink1_clip0.15,0.25,1.0,0.15,0.019014464895122502,0.023562540977887687,0.9822785369017644,0.01766375951752197,0.029889587727578458,0.033433127965640394,0.6353588358460309,0.006316927669910655
test,wsd,spline_s0.25_shrink1_clip0.15,0.25,1.0,0.15,0.022834435645054142,0.02741396107673272,0.9752211903023004,0.004893696844147755,0.03763073110252518,0.039344526332834986,0.3251717038477785,0.0339081872964182
validation,811,spline_s0.25_shrink1_clip0.25,0.25,1.0,0.25,0.019014464895122502,0.023562540977887687,0.9822785369017644,0.01766375951752197,0.029889587727578458,0.033433127965640394,0.6353588358460309,0.006316927669910655
test,wsd,spline_s0.25_shrink1_clip0.25,0.25,1.0,0.25,0.022834435645054142,0.02741396107673272,0.9752211903023004,0.004893696844147755,0.03763073110252518,0.039344526332834986,0.3251717038477785,0.0339081872964182
validation,811,spline_s0.25_shrink1.25_clip0.15,0.25,1.25,0.15,0.02022317112851121,0.025241008782831403,0.9796638496087045,0.007396606989262811,0.03086144572900425,0.035130903882338325,0.5973846571366443,0.005579325970920035
test,wsd,spline_s0.25_shrink1.25_clip0.15,0.25,1.25,0.15,0.02369125869190186,0.028834605667138573,0.9725864746022124,0.005397297440539184,0.03824541799677126,0.040916588232245484,0.2701670455833105,0.021868449962392678
validation,811,spline_s0.25_shrink1.25_clip0.25,0.25,1.25,0.25,0.02022317112851121,0.025241008782831403,0.9796638496087045,0.007396606989262811,0.03086144572900425,0.035130903882338325,0.5973846571366443,0.005579325970920035
test,wsd,spline_s0.25_shrink1.25_clip0.25,0.25,1.25,0.25,0.02369125869190186,0.028834605667138573,0.9725864746022124,0.005397297440539184,0.03824541799677126,0.040916588232245484,0.2701670455833105,0.021868449962392678
validation,811,spline_s0.5_shrink0.75_clip0.15,0.5,0.75,0.15,0.022490276085357037,0.02771219829865538,0.9754869537248777,0.027998365440035755,0.03055215850854727,0.035981032283356744,0.5776632135409698,0.020987853736852635
test,wsd,spline_s0.5_shrink0.75_clip0.15,0.5,0.75,0.15,0.025694249720535595,0.031100902872145748,0.9681079195778133,0.015252301159254689,0.03717418416309022,0.041433053060087335,0.2516263038391512,0.04875606307528013
validation,811,spline_s0.5_shrink0.75_clip0.25,0.5,0.75,0.25,0.022490276085357037,0.02771219829865538,0.9754869537248777,0.027998365440035755,0.03055215850854727,0.035981032283356744,0.5776632135409698,0.020987853736852635
test,wsd,spline_s0.5_shrink0.75_clip0.25,0.5,0.75,0.25,0.025694249720535595,0.031100902872145748,0.9681079195778133,0.015252301159254689,0.03717418416309022,0.041433053060087335,0.2516263038391512,0.04875606307528013
validation,811,spline_s0.5_shrink1_clip0.15,0.5,1.0,0.15,0.02107617785099087,0.026017100771346995,0.9783940619132947,0.017806240439845133,0.03054658950912646,0.035110220257368055,0.5978586041395322,0.009929261133279965
test,wsd,spline_s0.5_shrink1_clip0.15,0.5,1.0,0.15,0.02449531398324197,0.029538778350475147,0.9712311887609463,0.005036508626993008,0.037630682073497616,0.04076324277756754,0.27562726858718656,0.037564090017977225
validation,811,spline_s0.5_shrink1_clip0.25,0.5,1.0,0.25,0.02107617785099087,0.026017100771346995,0.9783940619132947,0.017806240439845133,0.03054658950912646,0.035110220257368055,0.5978586041395322,0.009929261133279965
test,wsd,spline_s0.5_shrink1_clip0.25,0.5,1.0,0.25,0.02449531398324197,0.029538778350475147,0.9712311887609463,0.005036508626993008,0.037630682073497616,0.04076324277756754,0.27562726858718656,0.037564090017977225
validation,811,spline_s0.5_shrink1.25_clip0.15,0.5,1.25,0.15,0.02198164593834144,0.027352071858565054,0.9761199194945468,0.007575386096362102,0.0315504594478116,0.03656105845628194,0.5639370448355767,0.0010834209190302424
test,wsd,spline_s0.5_shrink1.25_clip0.15,0.5,1.25,0.15,0.025133560466959543,0.030680839952342505,0.9689635995334897,0.005218103183483258,0.03831831102550463,0.04212527610527688,0.2264112184631557,0.026418581250589934
validation,811,spline_s0.5_shrink1.25_clip0.25,0.5,1.25,0.25,0.02198164593834144,0.027352071858565054,0.9761199194945468,0.007575386096362102,0.0315504594478116,0.03656105845628194,0.5639370448355767,0.0010834209190302424
test,wsd,spline_s0.5_shrink1.25_clip0.25,0.5,1.25,0.25,0.025133560466959543,0.030680839952342505,0.9689635995334897,0.005218103183483258,0.03831831102550463,0.04212527610527688,0.2264112184631557,0.026418581250589934
